Event1    	Event2    	Tree      	Model	lnML          	ML            	mu1 	mu1star	nu1 	nu1star	mu2 	mu2star	nu2 	nu2star
69        	71        	1         	A    	-11.7256636251	8.0837e-06    	2.072	2.072	0   	0   	0   	1000	0   	0   
69        	72        	1         	A    	-11.7256636251	8.0837e-06    	2.072	2.072	0   	0   	0   	1000	0   	0   
69        	73        	1         	A    	-11.7256636251	8.0837e-06    	2.072	2.072	0   	0   	0   	1000	0   	0   
69        	74        	1         	A    	-11.7256636251	8.0837e-06    	2.072	2.072	0   	0   	0   	1000	0   	0   
69        	75        	1         	A    	-11.7256636251	8.0837e-06    	2.072	2.072	0   	0   	0   	1000	0   	0   
69        	76        	1         	A    	-11.7256636251	8.0837e-06    	2.072	2.072	0   	0   	0   	1000	0   	0   
69        	77        	1         	A    	-11.7256636251	8.0837e-06    	2.072	2.072	0   	0   	0   	1000	0   	0   
69        	78        	1         	A    	-16.4786915562	6.9726e-08    	2.071	2.071	0   	0   	1.08	1000	0   	0   
70        	71        	1         	A    	-11.7256636251	8.0837e-06    	2.072	2.072	0   	0   	0   	1000	0   	0   
70        	72        	1         	A    	-11.7256636251	8.0837e-06    	2.072	2.072	0   	0   	0   	1000	0   	0   
70        	73        	1         	A    	-11.7256636251	8.0837e-06    	2.072	2.072	0   	0   	0   	1000	0   	0   
70        	74        	1         	A    	-11.7256636251	8.0837e-06    	2.072	2.072	0   	0   	0   	1000	0   	0   
70        	75        	1         	A    	-11.7256636251	8.0837e-06    	2.072	2.072	0   	0   	0   	1000	0   	0   
70        	76        	1         	A    	-11.7256636251	8.0837e-06    	2.072	2.072	0   	0   	0   	1000	0   	0   
70        	77        	1         	A    	-11.7256636251	8.0837e-06    	2.072	2.072	0   	0   	0   	1000	0   	0   
70        	78        	1         	A    	-16.4786915562	6.9726e-08    	2.071	2.071	0   	0   	1.08	1000	0   	0   
71        	72        	1         	A    	-11.7256636251	8.0837e-06    	2.072	2.072	0   	0   	0   	1000	0   	0   
71        	73        	1         	A    	-11.7256636251	8.0837e-06    	2.072	2.072	0   	0   	0   	1000	0   	0   
71        	74        	1         	A    	-11.7256636251	8.0837e-06    	2.072	2.072	0   	0   	0   	1000	0   	0   
